usuario_id,yeardone,study,privacy,dropout,device,net_id,school,grade,group,class_size,gender,yearbirth,age_assumed,siblings,left_hand,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,socpref1,socpref2,socpref3,sp1,sp2,sp3,sp4,sp5,sp6,migrant,repeater,gpaN,moodalone,moodfun,moodgeneral,patienceN,cns_td,crtN,finN,riskyN,cns_risk,self_bullying,n_others_bullying,others_bullying,height,weight,obesity,outdegreef,indegreef,eigenvectorf,clusteringf,outdegreee,indegreee,eigenvectore,clusteringe,density_f,average_degree_f,density_e,average_degree_e,schooltype,schooltown,schoolprov,nsiblings,rankbrother,stage,stairsN
2055,2021,337,1,0,3,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,B),B),A),,,,,,,1,,.44444445,2,4,2,.5,1,.66666669,.33333334,.33333334,1,0,0,0,157,58,,29,12,0,.5344827586206896,2,2,6.46777801993e-18,.5,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2056,2021,337,1,0,3,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.77777779,4,4,3,.33333334,1,.66666669,.33333334,.66666669,1,0,0,0,,49,,40,10,0,.3333333333333333,1,3,0,.6666666666666666,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2057,2021,337,1,1,1,5_2_1,5,1,1,30,0,2009,12,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,.83333331,1,.66666669,,,,0,0,0,,,,11,13,0,.7647058823529411,0,1,0,0,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2058,2021,337,1,0,3,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.77777779,3,4,4,0,1,.66666669,,.16666667,1,0,0,0,150,55,,8,19,0,.4123076923076923,4,1,0,.2,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2059,2021,337,1,0,3,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.11111111,4,4,4,0,1,.33333334,.33333334,.33333334,0,0,0,0,160,46,,5,14,0,.7802197802197802,2,1,0,.6666666666666666,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2060,2021,337,1,0,2,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,0,,.77777779,4,4,4,.5,0,0,.66666669,.83333331,1,0,0,0,160,45,,15,15,0,.631578947368421,1,3,0,.5,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2061,2021,337,1,0,3,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.77777779,4,4,2,.33333334,1,.66666669,0,.5,1,0,0,0,157,55,,8,11,0,.9090909090909091,2,2,0,.5,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2062,2021,337,1,0,2,5_2_1,5,1,1,30,0,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,0,,.77777779,4,4,3,.66666669,1,.33333334,.66666669,.66666669,1,0,0,0,151,35,,23,12,0,.5652173913043478,1,4,0,.9,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2063,2021,337,1,0,2,5_2_1,5,1,1,30,1,2008,13,,0,,,,,,,,,,A),A),A),,,,,,,1,,0,4,4,3,0,1,.66666669,.33333334,.66666669,1,0,0,0,140,35,,10,10,0,.7692307692307693,3,3,0,.4666666666666667,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2064,2021,337,1,0,3,5_2_1,5,1,1,30,0,2008,13,,1,,,,,,,,,,A),B),A),,,,,,,,,.33333334,1,4,3,.16666667,0,0,.66666669,.66666669,1,0,0,0,,,,29,16,0,.5344827586206896,0,6,0,.3333333333333334,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2065,2021,337,1,1,3,5_2_1,5,1,1,30,1,2008,13,,0,,,,,,,,,,,,,,,,,,,0,,0,,,,.83333331,1,.66666669,,,,0,0,0,,,,2,11,1.02918615516e-17,.7818181818181819,2,5,0,.6190476190476191,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2066,2021,337,1,0,3,5_2_1,5,1,1,30,1,2008,13,,0,,,,,,,,,,A),A),A),,,,,,,1,,0,2,1,0,1,1,0,0,.83333331,1,0,0,0,,,,13,9,3.29716839907e-18,.7523809523809524,2,3,0,.3333333333333333,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2067,2021,337,1,0,3,5_2_1,5,1,1,30,0,2007,14,,1,,,,,,,,,,A),A),A),,,,,,,0,,0,2,2,2,.66666669,0,0,.33333334,.5,1,0,0,0,164,45,,5,8,0,.6909090909090909,1,4,0,.3,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2068,2021,337,1,0,2,5_2_1,5,1,1,30,1,2009,12,,0,,,,,,,,,,A),B),A),,,,,,,0,,.44444445,4,4,4,1,1,.33333334,.33333334,.83333331,1,0,0,0,,,,3,8,0,1,5,5,0,.4722222222222222,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
