usuario_id,net_id,yeardone,privacy,dropout,study,school,schooltype,schoolprov,schooltown,stage,grade,group,class_size,gender,female,yearbirth,age,siblings,nsiblings,nsister,nbrother,ranksib,migrant,stairs10,stairs5,stairsN,nmark10_text,nmark8_text,gpa,gpaN,repeater,optional,moodalone,moodfun,moodgeneral,happyN,height,weight,obesity,uniwant,world,abroad,willwork,wish_slider,good1,good2,good3,like1,like2,like3,goodbeforelike,money1,money2,money3,money4,money5,money6,patienceN,cns_td,tpc1,tpc11,tpc111,tpc112,tpc22,tpc221,tpc222,patienceC,prob1,prob2,prob3,prob4,prob5,prob6,riskyN,cns_risk,hlbeforetd,newdesignhl,sp1_v1,sp2_v1,sp3_v1,sp1_v2,sp2_v2,sp3_v2,sp4_v2,sp5_v2,sp6_v2,sp_version,sp_randomized,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,delavande_total,crt1,crt2,crt3,crtN,fin1,fin2,fin3,finN,st_cards1,st_cards2,st_cards3,st_cards4,st_cards1_ne,st_cards2_ne,st_cards3_ne,st_cards4_ne,st_buttons_game1,st_buttons_game2,st_buttons_argument1,st_buttons_argument2,st_buttons_maxp,st_buttons_minr,st_buttons_randomnised,st_buttons_changedcolor,st_buttons_game1_rival,st_buttons_game2_rival,st_buttons_argument1_rival,st_buttons_argument2_rival,st_piggy_belief15,st_piggy_belief0,st_piggy_belief_position_15,st_piggy_belief_position_0,st_piggy_0_sec,st_piggy_15_sec,st_piggy_position_0,st_piggy_position_15,st_piggy_15_distance_ne,st_piggy_0_distance_ne,honesty,honest_pictures,honest_numbers,treatment_numbers,creativityf,brick,rope,ropeuse,rope_order,left_hand,device,covid1,covid2,covid3,covid4,ftr1,ftr2,ftr3,ftr_short,clima1,clima2,clima3,clima4,clima5,clima6,clima7,clima8,clima9,clima10,clima11,clima12,clima13
2049,5_2_1,2021,1,1,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,1,.11111111,,Otra,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2050,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,0,,,,,,8,.8888889,,"Segunda lengua extranjera (Francés, Chino, etc)",4,3,3,.83333331,153,49,,,,,,,,,,,,,,0,0,0,1,1,1,.5,1,,,,,,,,,0,0,0,1,1,1,.5,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,1,0,1,.66666669,4,2,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,6,Para construir algo; parameter los dedos y pegar a alguien usándolo como arma a distancia; lo mismo que antes pero como arma cuerpo a cuerpo; partirlo de tal manera que se pueda usar como puñal americano; jugar con el a ver quién lanza el ladrillo más lejos; usarlo para saltar encima de él,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2051,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,1,,,,,,1,.11111111,,Otra,1,3,2,.5,,,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,1,0,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,1,.66666669,4,2,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Para construir hogares.,,,,0,1,,,,,,,,,,,,,,,,,,,,,
2052,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,,12,,,,,,1,,,,,,1,.11111111,,"Segunda lengua extranjera (Francés, Chino, etc)",1,2,2,.41666666,,,,,,,,,,,,,,,,0,0,1,1,1,1,.66666669,1,,,,,,,,,0,0,0,0,1,1,.33333334,1,0,0,1,0,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,0,0,4,4,2,5,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,6,,,1,Construir;,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2053,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,9,1,,"Segunda lengua extranjera (Francés, Chino, etc)",3,4,3,.83333331,153,54,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,0,0,1,1,1,.5,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,0,0,5,4,5,5,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2,"Arma, construcción,",,,,0,2,,,,,,,,,,,,,,,,,,,,,
2054,5_2_1,2021,1,1,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,6,.66666669,,"Segunda lengua extranjera (Francés, Chino, etc)",,,,,,,,,,,,,,,,,,,,0,0,,,,,,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2055,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,4,.44444445,,Otra,2,4,2,.66666669,157,58,,,,,,,,,,,,,,0,0,0,1,1,1,.5,1,,,,,,,,,0,0,0,0,1,1,.33333334,1,0,0,1,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,0,.33333334,3,5,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3,,,2,Construir una casa; defenderse,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2056,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,0,,,,,,7,.77777779,,Otra,4,4,3,.91666669,,49,,,,,,,,,,,,,,0,0,0,0,1,1,.33333334,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,4,3,1,5,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,4,,,1,Hacer una casa o alguna construcción,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2057,5_2_1,2021,1,1,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,1,,,,,,9,1,,"Segunda lengua extranjera (Francés, Chino, etc)",,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
2058,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,0,,,,,,7,.77777779,,"Segunda lengua extranjera (Francés, Chino, etc)",3,4,4,.91666669,150,55,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,1,.16666667,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,,,,,5,5,5,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3,,,0,;......;,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2059,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,1,,,,,,1,.11111111,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,4,1,160,46,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,0,1,0,0,0,1,.33333334,0,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,0,0,1,.33333334,3,1,3,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Hacer una casa,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2060,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,0,,,,,,7,.77777779,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,4,1,160,45,,,,,,,,,,,,,,0,0,1,1,0,1,.5,0,,,,,,,,,0,1,1,1,1,1,.83333331,1,0,0,0,0,1,,,,,,,1,0,,,,,,,,,,,0,0,0,0,1,0,1,.66666669,2,3,3,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,Puedes construir algun material : casas...,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2061,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,0,,,,,,7,.77777779,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,2,.83333331,157,55,,,,,,,,,,,,,,0,0,0,0,1,1,.33333334,1,,,,,,,,,0,0,0,1,1,1,.5,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,0,0,4,5,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Hacer un muro.,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2062,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2009,12,,,,,,0,,,,,,7,.77777779,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,3,.91666669,151,35,,,,,,,,,,,,,,0,0,1,1,1,1,.66666669,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,1,0,1,.66666669,4,1,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3,,,2,Casa para hormigas; llenarla de agua.,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2063,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2008,13,,,,,,1,,,,,,0,0,,Otra,4,4,3,.91666669,140,35,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,5,3,5,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,Para construir casas;,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2064,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2008,13,,,,,,,,,,,,3,.33333334,,"Segunda lengua extranjera (Francés, Chino, etc)",1,4,3,.66666669,,,,,,,,,,,,,,,,0,1,0,0,0,0,.16666667,0,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,0,0,0,0,1,0,1,.66666669,5,3,4,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,?,,,,1,3,,,,,,,,,,,,,,,,,,,,,
2065,5_2_1,2021,1,1,337,5,2,1,3,2,1,1,30,2,1,2008,13,,,,,,0,,,,,,0,0,,Otra,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2066,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2008,13,,,,,,1,,,,,,0,0,,,2,1,0,.25,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,1,1,1,.83333331,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,0,0,0,0,0,0,0,0,2,1,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,"Una casa, un piso o paredes.",,,,0,3,,,,,,,,,,,,,,,,,,,,,
2067,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,1,0,2007,14,,,,,,0,,,,,,0,0,,Otra,2,2,2,.5,164,45,,,,,,,,,,,,,,0,1,0,1,1,1,.66666669,0,,,,,,,,,0,0,0,1,1,1,.5,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,0,0,0,0,0,0,1,.33333334,3,4,3,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3,,,3,construir;romper;andar,,,,1,3,,,,,,,,,,,,,,,,,,,,,
2068,5_2_1,2021,1,0,337,5,2,1,3,2,1,1,30,2,1,2009,12,,,,,,0,,,,,,4,.44444445,,"Segunda lengua extranjera (Francés, Chino, etc) | Alternativa/Valores éticos | Otra",4,4,4,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,1,1,1,.83333331,1,0,0,0,1,0,,,,,,,1,0,,,,,,,,,,,1,0,0,.33333334,0,0,1,.33333334,1,2,1,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2,"Para colocar cosas, construir",,,,0,2,,,,,,,,,,,,,,,,,,,,,
2069,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,1,,,,,,7,.77777779,,Otra,2,3,4,.75,,52,,,,,,,,,,,,,,0,0,1,0,1,0,.33333334,0,,,,,,,,,0,0,0,0,0,1,.16666667,1,0,0,1,0,1,,,,,,,1,0,,,,,,,,,,,0,0,0,0,0,0,0,0,4,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3,,,4,Ladrillo; ladrillo; ladrillo; ladrillo,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2070,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,1,,,,,,9,1,,Religión,2,3,3,.66666669,151,45,,,,,,,,,,,,,,1,0,0,0,0,1,.33333334,0,,,,,,,,,0,0,0,1,1,1,.5,1,0,0,0,0,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,1,.66666669,5,1,2,5,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,Una casa; un edificio; esculturas,,,,0,2,,,,,,,,,,,,,,,,,,,,,
2071,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,1,,,,,,2,.22222222,,Otra,2,3,2,.58333331,153,38,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,1,0,1,1,1,.66666669,0,0,0,0,0,1,,,,,,,1,0,,,,,,,,,,,1,0,0,.33333334,0,0,1,.33333334,2,4,2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,4,Hacer una casa; una mesa;  silla;  tejado,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2072,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,1,,,,,,1,.11111111,,"Segunda lengua extranjera (Francés, Chino, etc)",3,4,3,.83333331,154,35,,,,,,,,,,,,,,0,1,0,0,1,1,.5,0,,,,,,,,,0,1,1,1,1,1,.83333331,1,0,0,1,1,1,,,,,,,1,0,,,,,,,,,,,1,0,0,.33333334,0,0,1,.33333334,5,1,5,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,5,,,1,Haría un nido para animales pajaritos para que puedan estar calentitos a las  hora de criarse,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2073,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,1,0,2009,12,,,,,,1,,,,,,4,.44444445,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,4,1,160,53,,,,,,,,,,,,,,0,1,0,1,1,1,.66666669,0,,,,,,,,,1,0,0,1,1,1,.66666669,0,0,0,0,1,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,1,.66666669,5,2,3,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,Una escultura;,,,,1,3,,,,,,,,,,,,,,,,,,,,,
2074,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,0,,,,,,8,.8888889,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,4,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,0,0,0,0,0,1,.16666667,1,0,0,1,1,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,1,0,0,.33333334,4,2,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,edificios;chimeneas;sillas,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2075,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,1,0,2009,12,,,,,,0,,,,,,3,.33333334,,"Segunda lengua extranjera (Francés, Chino, etc)",3,4,2,.75,152,36,,,,,,,,,,,,,,0,0,1,1,1,1,.66666669,1,,,,,,,,,0,0,0,1,1,1,.5,1,0,0,0,1,1,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,0,0,1,.33333334,4,3,2,4,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,4,,,3,"Madera, metal, arena",,,,0,2,,,,,,,,,,,,,,,,,,,,,
2076,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,0,,,,,,1,.11111111,,"Segunda lengua extranjera (Francés, Chino, etc)",3,3,4,.83333331,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,1,1,1,.83333331,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,3,1,2,3,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,"Construir algo con el, dibujar algo en el",,,,0,3,,,,,,,,,,,,,,,,,,,,,
2077,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,1,0,2008,13,,,,,,0,,,,,,1,.11111111,,Otra,2,3,2,.58333331,169,65,,,,,,,,,,,,,,0,0,0,1,0,0,.16666667,0,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,0,1,,,,,,,1,0,,,,,,,,,,,0,0,1,.33333334,1,0,1,.66666669,3,5,4,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3,,,1,Construir;,,,,1,3,,,,,,,,,,,,,,,,,,,,,
2078,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,1,,,,,,2,.22222222,,"Segunda lengua extranjera (Francés, Chino, etc)",2,2,3,.58333331,148,39,,,,,,,,,,,,,,0,0,1,1,1,1,.66666669,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,0,0,4,1,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2,Hacer una casa; un muro;,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2079,5_2_1,2021,1,1,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,1,,,,,,7,.77777779,,"Segunda lengua extranjera (Francés, Chino, etc)",4,4,4,1,167,57,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,0,1,1,1,1,.66666669,1,0,0,0,0,0,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,1,.33333334,5,3,4,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,Construcción,,,,0,3,,,,,,,,,,,,,,,,,,,,,
2080,5_2_1,2021,1,0,337,5,2,1,3,2,1,2,30,2,1,2009,12,,,,,,0,,,,,,4,.44444445,,"Segunda lengua extranjera (Francés, Chino, etc) | Religión",4,3,4,.91666669,150,38,,,,,,,,,,,,,,0,1,1,1,1,1,.83333331,1,,,,,,,,,0,0,1,1,1,0,.5,0,0,0,0,0,1,,,,,,,1,0,,,,,,,,,,,1,0,1,.66666669,0,0,0,0,3,5,2,4,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,Una pared;si es el tipo del ladrillo que pone en la foto para poner los lapizes;para subirse a una sitio.,,,,0,3,,,,,,,,,,,,,,,,,,,,,
